2026-02-01 22:03:24.268 [INFO] [EVT] Session Started
2026-02-01 22:03:24.268 [INFO] [EVT] Client Connected: ('127.0.0.1', 59106)
2026-02-01 22:03:30.497 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:30.581 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:30.583 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:30.669 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:30.669 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:30.754 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:30.756 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:30.842 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:30.843 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:30.932 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:30.933 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 09 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
